Location,Order Id,Order #,Sent Date,Order Date,Check Id,Server,Table,Dining Area,Service,Dining Option,Item Selection Id,Item Id,Master Id,SKU,Menu Item,Menu Subgroup(s),Menu Group,Menu,Sales Category,Gross Price,Discnt,Net Price,Qty,Tax,Void?,Deferred,Tax Exempt,Tax Inclusion Option,Dining Option Tax,Tab Name
Clifton,1001,1001,09/14/2026 08:32 AM,09/14/2026 08:32 AM,1001-1,John,,,Breakfast,Take Out,5001,101,101,BEC001,Bacon Egg & Cheese,Breakfast Sandwiches,Sandwiches,Main Menu,Food,5.50,0.00,5.50,1,0.33,False,False,False,Included,0.00,
Clifton,1001,1001,09/14/2026 08:32 AM,09/14/2026 08:32 AM,1001-1,John,,,Breakfast,Take Out,5002,201,201,COF001,Coffee,Coffee,Beverages,Main Menu,Drinks,2.50,0.00,2.50,1,0.15,False,False,False,Included,0.00,
Clifton,1002,1002,09/14/2026 08:41 AM,09/14/2026 08:41 AM,1002-1,Maria,,,Breakfast,Dine In,5003,102,102,PB001,Plain Bagel,Bagels,Bagels,Main Menu,Food,1.75,0.00,1.75,2,0.11,False,False,False,Included,0.00,
Clifton,1003,1003,09/14/2026 09:05 AM,09/14/2026 09:05 AM,1003-1,John,,,Breakfast,Take Out,5004,301,301,TUR001,Turkey Sandwich,Sandwiches,Sandwiches,Main Menu,Food,8.50,0.00,8.50,1,0.51,False,False,False,Included,0.00,
Clifton,1003,1003,09/14/2026 09:05 AM,09/14/2026 09:05 AM,1003-1,John,,,Breakfast,Take Out,5005,201,201,COF001,Coffee,Coffee,Beverages,Main Menu,Drinks,2.50,0.00,2.50,1,0.15,False,False,False,Included,0.00,
Clifton,1004,1004,09/14/2026 09:22 AM,09/14/2026 09:22 AM,1004-1,Maria,,,Breakfast,Take Out,5006,103,103,BAG001,Everything Bagel,Bagels,Bagels,Main Menu,Food,2.00,0.00,2.00,3,0.12,False,False,False,Included,0.00,
Clifton,1005,1005,09/14/2026 10:15 AM,09/14/2026 10:15 AM,1005-1,John,,,Late Morning,Dine In,5007,104,104,BEC002,Sausage Egg & Cheese,Breakfast Sandwiches,Sandwiches,Main Menu,Food,6.00,0.00,6.00,1,0.36,False,False,False,Included,0.00,
Clifton,1005,1005,09/14/2026 10:15 AM,09/14/2026 10:15 AM,1005-1,John,,,Late Morning,Dine In,5008,202,202,OJ001,Orange Juice,Juice,Beverages,Main Menu,Drinks,3.00,0.00,3.00,1,0.18,False,False,False,Included,0.00,
Clifton,1006,1006,09/14/2026 11:03 AM,09/14/2026 11:03 AM,1006-1,Maria,,,Late Morning,Take Out,5009,105,105,HAM001,Ham Egg & Cheese,Breakfast Sandwiches,Sandwiches,Main Menu,Food,6.25,0.00,6.25,1,0.38,False,False,False,Included,0.00,
Clifton,1007,1007,09/14/2026 12:10 PM,09/14/2026 12:10 PM,1007-1,John,,,Lunch,Dine In,5010,301,301,TUR001,Turkey Sandwich,Sandwiches,Sandwiches,Main Menu,Food,8.50,0.00,8.50,2,0.51,False,False,False,Included,0.00,
Clifton,1007,1007,09/14/2026 12:10 PM,09/14/2026 12:10 PM,1007-1,John,,,Lunch,Dine In,5011,201,201,COF001,Coffee,Coffee,Beverages,Main Menu,Drinks,2.50,0.00,2.50,2,0.15,False,False,False,Included,0.00,
Clifton,1008,1008,09/14/2026 12:45 PM,09/14/2026 12:45 PM,1008-1,Maria,,,Lunch,Take Out,5012,106,106,CHICK001,Chicken Salad Sandwich,Sandwiches,Sandwiches,Main Menu,Food,8.00,0.00,8.00,1,0.48,False,False,False,Included,0.00,
Clifton,1009,1009,09/14/2026 01:20 PM,09/14/2026 01:20 PM,1009-1,John,,,Lunch,Take Out,5013,101,101,BEC001,Bacon Egg & Cheese,Breakfast Sandwiches,Sandwiches,Main Menu,Food,5.50,0.00,5.50,1,0.33,False,False,False,Included,0.00,
Clifton,1010,1010,09/14/2026 02:05 PM,09/14/2026 02:05 PM,1010-1,Maria,,,Afternoon,Dine In,5014,107,107,CHIPS001,Chips,Sides,Sides,Main Menu,Food,2.00,0.00,2.00,1,0.12,False,False,False,Included,0.00,
Clifton,1011,1011,09/14/2026 03:30 PM,09/14/2026 03:30 PM,1011-1,John,,,Afternoon,Take Out,5015,201,201,COF001,Coffee,Coffee,Beverages,Main Menu,Drinks,2.50,0.00,2.50,2,0.15,False,False,False,Included,0.00,
Clifton,1012,1012,09/14/2026 05:15 PM,09/14/2026 05:15 PM,1012-1,Maria,,,Evening,Take Out,5016,301,301,TUR001,Turkey Sandwich,Sandwiches,Sandwiches,Main Menu,Food,8.50,0.00,8.50,1,0.51,False,False,False,Included,0.00,
